viewport,name,diff_pixels,total_pixels,diff_ratio
mobile,checkout-popup,287152,329160,0.872378
mobile,q22,152533,329160,0.463401
mobile,q01,143895,340080,0.423121
mobile,q15,117190,349830,0.334991
mobile,checkout-main,98782,329160,0.300103
mobile,q05,83287,329160,0.253029
mobile,q24,59420,329160,0.180520
mobile,q20,57017,329160,0.173220
mobile,email,56904,329160,0.172876
mobile,q11,50513,346320,0.145856
mobile,q10,41783,329160,0.126938
mobile,q06,41507,329160,0.126100
mobile,q21,39282,329160,0.119340
mobile,q07,37446,329160,0.113762
mobile,q26,33599,329160,0.102075
mobile,q25,32269,329160,0.098034
mobile,q08,30362,329160,0.092241
mobile,q12,26368,329160,0.080107
mobile,q23,26212,329160,0.079633
mobile,q17,25529,329160,0.077558
mobile,q09,24082,329160,0.073162
mobile,q04,21884,329160,0.066484
mobile,q14,19998,329160,0.060755
mobile,q03,19320,329160,0.058695
mobile,q13,17270,329160,0.052467
mobile,q18,17174,329160,0.052175
mobile,q19,16464,329160,0.050018
mobile,q16,16389,329160,0.049790
mobile,q02,11830,329160,0.035940
